gen,best,mean,sigma,gravity,phase,elapsed_s
97,497.74386567232517,88.18789270978561,0.4011760794304306,-9.492529254206199,random,1.1008780002593994
98,540.2702932279116,119.42643615353191,0.40119349264441334,-6.621707533495394,random,1.2633488178253174
99,531.4401112116094,154.1250786105134,0.40124218730714,-9.387572849214841,random,1.186797857284546
100,724.340084002576,148.41591493883854,0.4011436798164491,-9.700120658937461,random,1.1456091403961182
101,412.78987994743784,132.03449918289994,0.4011127809845477,-11.630213495940364,random,0.9861319065093994
102,860.3592220447521,77.88021308966798,0.4010917581984395,-9.386196023802789,random,1.0695936679840088
103,528.9216859600023,167.10528573044334,0.4009673388150277,-11.704662813251442,random,1.0857248306274414
104,495.4446787423282,156.28747899730692,0.40074404179094997,-8.17583829069015,random,1.215698003768921
105,544.6034684471905,83.65196629439431,0.4006626731912236,-6.8020669245674,random,1.1042990684509277
106,893.370893616849,188.1237048326904,0.40061021077591225,-8.974052071993167,random,1.1195008754730225
107,792.4741698702525,156.43313537915742,0.40072769427301047,-6.767464659397457,random,1.2532107830047607
108,892.8542398984055,287.3683603949501,0.40094755269497134,-6.758585952123987,random,1.526393175125122
109,900.1157575204978,246.21080830110841,0.40112837009261554,-8.645862986934151,random,1.1393258571624756
110,565.3329129338514,228.15604555998524,0.401222176806283,-8.559309636742253,random,1.249082088470459
111,964.9711081077397,319.9644797125317,0.40131858587474106,-7.213415509664195,random,1.2911980152130127
112,636.6362467071183,264.87599365942714,0.4012494621031908,-7.413076924942641,random,1.1717219352722168
113,457.94445211451693,162.0981488155342,0.40099127548552255,-11.217959380848324,random,0.8631441593170166
114,405.6113189794117,119.18042870654543,0.40065290034410195,-11.340253701481895,random,1.0589618682861328
115,856.8430796849352,246.46022325003665,0.40036639879612174,-7.731315099197589,random,1.4441516399383545
116,1044.4958617159705,242.99731275742846,0.4001303267850058,-7.5517893658496105,random,1.6226460933685303
117,817.9471098853246,220.13003663105377,0.40005897769376697,-8.966862748044878,random,1.123901128768921
118,1216.9713283333997,331.18143893351413,0.39992257511565954,-7.084408685975142,random,1.569004774093628
119,667.8147582605606,249.93608899745277,0.39983596941984684,-9.309699934576589,random,1.1879658699035645
120,819.6436502595479,275.5527577358622,0.3995946318756361,-7.76211543530217,random,1.577026605606079
121,537.1445127016797,227.88410201386313,0.39933639760847506,-11.115463347724313,random,1.0694222450256348
122,485.96692835609457,163.23804526533843,0.3991945269622653,-11.41077485821255,random,1.178391933441162
123,655.616056179435,215.66730682423378,0.3991334606360494,-10.039942197800968,random,1.3269598484039307
124,648.6109312376724,159.20040563794345,0.39924419176662457,-8.715338780185968,random,1.4827759265899658
125,679.3370522104955,208.10876124217816,0.3994417043322462,-8.273603033137945,random,1.3904352188110352
126,500.5898094870104,159.44788436123318,0.399780325721611,-11.556410434270889,random,1.0976200103759766
127,687.0119943551693,173.6585175051152,0.40010820992619667,-7.823446417090997,random,1.5446689128875732
128,696.8719186063948,202.70128530790222,0.40044465054183304,-9.951042865910592,random,1.232517957687378
129,692.9708601563661,120.1614326895514,0.40078116600338326,-9.516982500543138,random,1.4099698066711426
130,1056.4890252193625,259.51463455303065,0.4010788324756365,-8.520732901416382,random,1.5846388339996338
131,448.7859644045944,181.95202902621037,0.4012420460494704,-11.09982251846316,random,1.0795128345489502
132,960.7088939637707,268.81752253628235,0.4013184709926648,-7.4980014525300085,random,1.612915277481079
133,667.4944650007022,300.43258406272116,0.40123800838037915,-8.400941867454339,random,1.415207862854004
134,523.4000700374409,170.1773535050907,0.401027027716049,-9.800399339292746,random,1.2462751865386963
135,761.1908575163355,173.8282442202996,0.40065795857163033,-9.235816551051702,random,1.3226561546325684
136,963.9200438362165,168.10145624463485,0.4002621365942308,-7.4547406948534345,random,1.522279977798462
